student_id,course_id,session_start,session_end,page_views,downloads,forum_posts
LMS-2001,COURSE-007,2025-01-03 14:05:00,2025-01-03 15:07:00,19.0,0,0
LMS-2001,COURSE-010,2024-10-11 20:50:00,2024-10-11 22:32:00,3.0,5,0
LMS-2001,COURSE-009,2024-12-31 09:03:00,2024-12-31 10:10:00,30.0,3,0
LMS-2001,COURSE-007,2025-01-26 08:30:00,2025-01-26 11:14:00,36.0,4,1
LMS-2001,COURSE-005,2025-01-15 16:16:00,2025-01-15 16:50:00,43.0,3,1
LMS-2001,COURSE-010,2024-12-21 12:07:00,2024-12-21 13:27:00,20.0,7,4
LMS-2001,COURSE-005,2024-11-27 08:07:00,2024-11-27 08:27:00,22.0,4,2
LMS-2001,COURSE-005,2024-09-21 18:23:00,2024-09-21 19:48:00,11.0,7,0
LMS-2001,COURSE-006,2025-02-04 15:59:00,2025-02-04 18:50:00,6.0,3,2
LMS-2001,COURSE-003,2024-09-15 14:07:00,2024-09-15 15:40:00,12.0,1,0
LMS-2001,COURSE-007,2024-09-19 16:24:00,2024-09-19 17:02:00,38.0,2,2
LMS-2001,COURSE-006,2025-02-25 16:51:00,2025-02-25 18:09:00,13.0,5,4
LMS-2001,COURSE-009,2025-02-20 18:29:00,2025-02-20 20:52:00,37.0,1,2
LMS-2001,COURSE-001,2025-03-02 18:01:00,2025-03-02 20:14:00,24.0,4,3
LMS-2001,COURSE-008,2025-02-04 18:19:00,2025-02-04 19:14:00,8.0,6,0
LMS-2001,COURSE-010,2024-11-12 07:16:00,2024-11-12 07:44:00,,1,4
LMS-2001,COURSE-004,2024-09-10 21:12:00,2024-09-10 21:29:00,20.0,1,0
LMS-2001,COURSE-009,2024-10-13 20:32:00,2024-10-13 23:31:00,18.0,9,2
LMS-2001,COURSE-003,2024-10-13 08:43:00,2024-10-13 10:56:00,44.0,5,4
LMS-2001,COURSE-003,2024-12-01 15:18:00,2024-12-01 17:04:00,40.0,6,2
LMS-2001,COURSE-010,2024-12-08 14:11:00,2024-12-08 16:10:00,18.0,8,4
LMS-2001,COURSE-009,2025-04-11 21:45:00,2025-04-11 23:40:00,18.0,1,0
LMS-2001,COURSE-010,2024-12-30 14:11:00,2024-12-30 15:30:00,29.0,1,4
LMS-2001,COURSE-003,2024-12-15 18:13:00,2024-12-15 19:49:00,47.0,8,0
LMS-2001,COURSE-003,2024-11-16 20:47:00,2024-11-16 23:36:00,18.0,5,3
LMS-2001,COURSE-002,2025-02-01 19:19:00,2025-02-01 20:00:00,40.0,1,1
LMS-2001,COURSE-001,2024-11-12 20:11:00,2024-11-12 20:54:00,2.0,5,0
LMS-2001,COURSE-010,2025-02-24 12:10:00,2025-02-24 13:49:00,37.0,5,0
LMS-2001,COURSE-005,2024-11-02 15:35:00,2024-11-02 16:02:00,3.0,8,3
LMS-2001,COURSE-004,2025-02-20 15:16:00,2025-02-20 16:22:00,45.0,0,3
LMS-2001,COURSE-005,2025-01-08 17:11:00,2025-01-08 19:27:00,38.0,4,1
LMS-2001,COURSE-010,2025-03-06 09:59:00,2025-03-06 10:38:00,14.0,5,0
LMS-2001,COURSE-002,2024-11-26 07:12:00,2024-11-26 07:41:00,21.0,5,1
LMS-2001,COURSE-004,2024-11-28 08:52:00,2024-11-28 11:16:00,31.0,2,1
LMS-2001,COURSE-001,2025-04-07 21:20:00,2025-04-07 21:45:00,29.0,4,3
LMS-2001,COURSE-010,2024-12-19 12:01:00,2024-12-19 13:13:00,2.0,9,0
LMS-2001,COURSE-009,2024-12-20 18:02:00,2024-12-20 20:53:00,20.0,7,0
LMS-2001,COURSE-003,2024-10-11 12:19:00,2024-10-11 13:41:00,10.0,2,3
LMS-2001,COURSE-004,2024-12-29 15:32:00,2024-12-29 16:09:00,16.0,6,3
LMS-2001,COURSE-010,2025-04-08 18:29:00,2025-04-08 19:33:00,48.0,6,3
LMS-2001,COURSE-002,2025-03-06 16:38:00,2025-03-06 18:24:00,28.0,8,4
LMS-2001,COURSE-003,2024-09-04 21:20:00,2024-09-04 22:43:00,46.0,4,2
LMS-2001,COURSE-002,2025-03-18 16:01:00,2025-03-18 16:16:00,45.0,4,2
LMS-2001,COURSE-010,2025-03-01 16:22:00,2025-03-01 17:16:00,33.0,3,0
LMS-2001,COURSE-008,2025-04-02 15:31:00,2025-04-02 15:36:00,38.0,9,3
LMS-2001,COURSE-001,2024-09-05 09:54:00,2024-09-05 12:26:00,47.0,2,3
LMS-2001,COURSE-002,2025-03-01 16:49:00,2025-03-01 17:51:00,9.0,7,4
LMS-2001,COURSE-003,2025-02-10 15:46:00,2025-02-10 18:06:00,3.0,2,0
LMS-2001,COURSE-010,2024-09-19 18:47:00,2024-09-19 20:25:00,8.0,3,2
LMS-2001,COURSE-010,2024-12-02 12:42:00,2024-12-02 12:53:00,12.0,3,2
LMS-2001,COURSE-006,2024-09-13 15:29:00,2024-09-13 16:35:00,12.0,6,0
LMS-2001,COURSE-005,2025-02-22 17:50:00,2025-02-22 20:18:00,36.0,9,0
LMS-2001,COURSE-006,2024-11-23 16:07:00,2024-11-23 17:21:00,41.0,0,3
LMS-2001,COURSE-004,2024-12-26 19:48:00,2024-12-26 22:21:00,2.0,4,3
LMS-2001,COURSE-004,2024-11-02 07:08:00,2024-11-02 09:51:00,4.0,6,1
LMS-2002,COURSE-009,2024-11-20 10:33:00,2024-11-20 11:08:00,28.0,1,4
LMS-2002,COURSE-004,2024-10-09 07:30:00,2024-10-09 09:45:00,3.0,5,0
LMS-2002,COURSE-001,2025-01-19 15:04:00,2025-01-19 15:15:00,47.0,6,1
LMS-2002,COURSE-007,2024-10-29 08:00:00,2024-10-29 09:10:00,30.0,8,0
LMS-2002,COURSE-007,2025-03-28 11:04:00,2025-03-28 11:13:00,23.0,7,0
LMS-2002,COURSE-005,2024-11-20 20:53:00,2024-11-20 23:50:00,48.0,6,2
LMS-2002,COURSE-010,2025-02-14 20:56:00,2025-02-14 22:06:00,43.0,6,4
LMS-2002,COURSE-001,2025-01-17 19:01:00,2025-01-17 19:06:00,18.0,1,1
LMS-2002,COURSE-004,2024-12-06 17:40:00,2024-12-06 20:26:00,15.0,2,3
LMS-2002,COURSE-002,2024-09-28 17:06:00,2024-09-28 19:07:00,15.0,1,1
LMS-2002,COURSE-003,2024-09-28 18:39:00,2024-09-28 19:47:00,3.0,1,2
LMS-2002,COURSE-002,2025-02-11 16:02:00,2025-02-11 18:22:00,17.0,0,1
LMS-2002,COURSE-001,2024-11-20 09:55:00,2024-11-20 11:47:00,34.0,7,3
LMS-2002,COURSE-003,2024-09-19 21:24:00,2024-09-19 22:48:00,47.0,6,1
LMS-2002,COURSE-007,2025-03-04 19:28:00,2025-03-04 19:56:00,25.0,1,1
LMS-2002,COURSE-005,2025-03-15 20:59:00,2025-03-15 21:31:00,26.0,5,2
LMS-2002,COURSE-001,2024-10-30 15:49:00,2024-10-30 16:11:00,30.0,8,1
LMS-2002,COURSE-007,2025-04-01 19:52:00,2025-04-01 22:41:00,34.0,8,2
LMS-2002,COURSE-005,2025-03-31 07:31:00,2025-03-31 08:56:00,26.0,0,3
LMS-2002,COURSE-001,2024-10-07 18:56:00,2024-10-07 19:28:00,27.0,3,3
LMS-2002,COURSE-006,2024-10-10 11:29:00,2024-10-10 12:12:00,9.0,5,3
LMS-2002,COURSE-009,2025-03-07 09:12:00,2025-03-07 10:18:00,6.0,2,2
LMS-2002,COURSE-005,2024-11-25 15:30:00,2024-11-25 16:09:00,49.0,7,4
LMS-2002,COURSE-001,2024-11-05 12:29:00,2024-11-05 14:19:00,16.0,4,2
LMS-2002,COURSE-003,2025-03-02 19:42:00,2025-03-02 21:00:00,3.0,1,2
LMS-2002,COURSE-001,2024-09-27 13:01:00,2024-09-27 13:37:00,48.0,2,4
LMS-2002,COURSE-002,2024-11-08 13:19:00,2024-11-08 13:24:00,7.0,0,3
LMS-2002,COURSE-003,2024-10-12 14:40:00,2024-10-12 15:38:00,19.0,8,4
LMS-2002,COURSE-007,2025-04-17 16:51:00,2025-04-17 17:26:00,6.0,0,4
LMS-2002,COURSE-004,2025-02-27 18:41:00,2025-02-27 19:00:00,43.0,2,2
LMS-2002,COURSE-008,2025-02-08 15:28:00,2025-02-08 15:55:00,48.0,2,3
LMS-2002,COURSE-010,2024-10-06 09:38:00,2024-10-06 12:36:00,28.0,7,2
LMS-2002,COURSE-010,2024-11-05 07:19:00,2024-11-05 08:20:00,37.0,5,4
LMS-2002,COURSE-008,2025-03-14 16:31:00,2025-03-14 19:05:00,26.0,4,1
LMS-2002,COURSE-007,2024-09-15 13:29:00,2024-09-15 13:53:00,37.0,1,1
LMS-2002,COURSE-008,2025-04-11 11:08:00,2025-04-11 14:01:00,38.0,2,2
LMS-2002,COURSE-006,2024-09-04 12:36:00,2024-09-04 14:54:00,1.0,8,2
LMS-2002,COURSE-008,2025-03-19 14:26:00,2025-03-19 15:04:00,27.0,3,4
LMS-2002,COURSE-007,2025-04-03 16:31:00,2025-04-03 19:19:00,5.0,8,0
LMS-2002,COURSE-007,2025-04-21 17:37:00,2025-04-21 18:05:00,30.0,3,3
LMS-2002,COURSE-009,2025-02-09 17:45:00,2025-02-09 19:58:00,21.0,6,3
LMS-2002,COURSE-007,2024-10-13 13:57:00,2024-10-13 14:35:00,49.0,3,4
LMS-2002,COURSE-010,2025-04-03 15:03:00,2025-04-03 16:35:00,17.0,6,2
LMS-2002,COURSE-004,2024-10-10 20:58:00,2024-10-10 23:38:00,47.0,1,3
LMS-2002,COURSE-004,2024-12-09 18:01:00,2024-12-09 18:20:00,36.0,9,0
LMS-2002,COURSE-005,2024-12-13 16:35:00,2024-12-13 16:55:00,24.0,6,4
LMS-2002,COURSE-005,2025-04-14 10:52:00,2025-04-14 13:32:00,47.0,3,0
LMS-2002,COURSE-002,2025-02-23 07:45:00,2025-02-23 07:52:00,17.0,5,2
LMS-2002,COURSE-005,2024-11-13 17:42:00,2024-11-13 19:16:00,,5,3
LMS-2002,COURSE-009,2024-09-30 12:03:00,2024-09-30 14:18:00,25.0,3,0
LMS-2002,COURSE-006,2025-01-09 07:46:00,2025-01-09 07:54:00,29.0,3,4
LMS-2002,COURSE-004,2024-12-25 07:31:00,2024-12-25 09:28:00,47.0,4,2
LMS-2002,COURSE-010,2025-03-12 12:19:00,2025-03-12 12:47:00,45.0,7,4
LMS-2002,COURSE-006,2024-10-23 10:02:00,2024-10-23 10:28:00,11.0,2,3
LMS-2002,COURSE-001,2024-11-15 08:18:00,2024-11-15 10:39:00,36.0,8,4
LMS-2002,COURSE-009,2025-02-14 17:12:00,2025-02-14 17:52:00,44.0,7,2
LMS-2002,COURSE-010,2025-01-30 09:36:00,2025-01-30 12:34:00,30.0,5,1
LMS-2002,COURSE-009,2025-01-29 14:11:00,2025-01-29 15:38:00,16.0,4,4
LMS-2002,COURSE-009,2025-01-13 09:04:00,2025-01-13 11:11:00,29.0,3,4
LMS-2002,COURSE-010,2025-02-25 11:21:00,2025-02-25 12:04:00,12.0,9,3
LMS-2002,COURSE-002,2025-03-27 07:04:00,2025-03-27 07:15:00,1.0,8,1
LMS-2002,COURSE-009,2025-02-20 09:56:00,2025-02-20 10:15:00,42.0,3,2
LMS-2002,COURSE-006,2025-03-14 13:04:00,2025-03-14 13:11:00,28.0,9,0
LMS-2002,COURSE-008,2024-11-24 16:29:00,2024-11-24 17:04:00,45.0,4,2
LMS-2002,COURSE-007,2025-04-22 10:08:00,2025-04-22 11:04:00,41.0,6,2
LMS-2002,COURSE-001,2025-03-29 18:40:00,2025-03-29 20:02:00,18.0,6,0
LMS-2002,COURSE-009,2025-04-12 10:35:00,2025-04-12 13:16:00,20.0,3,2
LMS-2002,COURSE-007,2025-02-17 18:23:00,2025-02-17 18:50:00,1.0,0,3
LMS-2002,COURSE-001,2025-04-28 11:14:00,2025-04-28 11:28:00,40.0,6,3
LMS-2002,COURSE-010,2025-01-18 20:10:00,2025-01-18 22:19:00,49.0,3,3
LMS-2002,COURSE-004,2025-04-22 21:14:00,2025-04-22 23:43:00,12.0,5,1
LMS-2002,COURSE-005,2024-09-07 16:58:00,2024-09-07 17:41:00,3.0,5,4
LMS-2002,COURSE-003,2024-12-11 14:52:00,2024-12-11 16:17:00,9.0,9,1
LMS-2002,COURSE-001,2025-03-18 19:22:00,2025-03-18 20:03:00,21.0,1,2
LMS-2002,COURSE-007,2025-03-16 21:45:00,2025-03-17 00:37:00,42.0,3,1
LMS-2002,COURSE-008,2024-12-18 18:48:00,2024-12-18 19:39:00,47.0,1,3
LMS-2002,COURSE-001,2025-02-25 16:16:00,2025-02-25 16:33:00,8.0,1,0
LMS-2002,COURSE-010,2025-01-26 11:38:00,2025-01-26 13:55:00,42.0,5,0
LMS-2002,COURSE-007,2025-03-08 16:05:00,2025-03-08 17:21:00,9.0,6,1
LMS-2002,COURSE-002,2024-10-11 18:17:00,2024-10-11 20:26:00,24.0,0,2
LMS-2002,COURSE-001,2024-09-05 07:55:00,2024-09-05 09:59:00,16.0,0,0
LMS-2002,COURSE-010,2025-01-29 12:29:00,2025-01-29 13:40:00,19.0,7,1
LMS-2002,COURSE-001,2025-04-09 07:37:00,2025-04-09 10:14:00,16.0,9,3
LMS-2002,COURSE-004,2025-01-09 19:33:00,2025-01-09 21:12:00,32.0,2,4
LMS-2002,COURSE-010,2025-02-25 10:17:00,2025-02-25 13:07:00,22.0,4,3
LMS-2002,COURSE-006,2024-11-24 11:55:00,2024-11-24 14:16:00,45.0,9,4
LMS-2002,COURSE-003,2025-04-19 10:56:00,2025-04-19 13:13:00,20.0,4,2
LMS-2002,COURSE-007,2025-04-10 20:00:00,2025-04-10 21:54:00,28.0,2,4
LMS-2002,COURSE-002,2025-04-18 09:41:00,2025-04-18 11:16:00,12.0,5,3
LMS-2002,COURSE-003,2024-10-09 11:45:00,2024-10-09 12:08:00,48.0,1,2
LMS-2002,COURSE-005,2025-03-03 08:02:00,2025-03-03 09:04:00,3.0,4,3
LMS-2002,COURSE-002,2024-09-17 17:25:00,2024-09-17 19:20:00,21.0,8,3
LMS-2002,COURSE-008,2024-10-03 21:07:00,2024-10-03 22:58:00,48.0,3,4
LMS-2002,COURSE-009,2025-02-19 17:58:00,2025-02-19 18:28:00,29.0,7,3
LMS-2002,COURSE-002,2025-01-17 13:05:00,2025-01-17 13:33:00,39.0,9,4
LMS-2002,COURSE-004,2024-12-14 16:04:00,2024-12-14 17:58:00,13.0,8,2
LMS-2002,COURSE-009,2024-11-07 07:15:00,2024-11-07 07:58:00,47.0,7,3
LMS-2002,COURSE-009,2025-02-08 10:13:00,2025-02-08 10:32:00,43.0,3,3
LMS-2002,COURSE-003,2024-12-13 17:31:00,2024-12-13 20:05:00,47.0,7,4
LMS-2002,COURSE-009,2024-09-02 15:43:00,2024-09-02 16:15:00,40.0,1,0
LMS-2002,COURSE-005,2025-02-18 17:09:00,2025-02-18 19:02:00,17.0,2,3
LMS-2002,COURSE-002,2024-11-21 16:50:00,2024-11-21 17:10:00,48.0,8,4
LMS-2002,COURSE-008,2025-02-19 17:11:00,2025-02-19 18:19:00,32.0,4,1
LMS-2002,COURSE-002,2025-01-18 14:32:00,2025-01-18 16:22:00,49.0,3,1
LMS-2002,COURSE-002,2024-10-23 12:40:00,2024-10-23 14:20:00,26.0,0,1
LMS-2002,COURSE-010,2024-09-14 11:14:00,2024-09-14 12:39:00,22.0,8,3
LMS-2002,COURSE-007,2025-04-08 09:18:00,2025-04-08 09:26:00,13.0,9,0
LMS-2002,COURSE-009,2024-11-19 21:38:00,2024-11-20 00:20:00,33.0,4,4
LMS-2003,COURSE-010,2025-03-02 08:01:00,2025-03-02 10:32:00,27.0,6,0
LMS-2003,COURSE-002,2024-11-07 17:06:00,2024-11-07 17:59:00,1.0,8,0
LMS-2003,COURSE-008,2025-03-23 18:10:00,2025-03-23 20:45:00,7.0,3,2
LMS-2003,COURSE-001,2025-02-23 20:49:00,2025-02-23 21:46:00,44.0,0,1
LMS-2003,COURSE-010,2024-10-22 12:30:00,2024-10-22 13:52:00,45.0,6,3
LMS-2003,COURSE-008,2025-02-08 15:40:00,2025-02-08 15:59:00,41.0,5,1
LMS-2003,COURSE-009,2024-09-13 17:27:00,2024-09-13 19:42:00,37.0,3,4
LMS-2003,COURSE-001,2025-04-18 08:55:00,2025-04-18 11:14:00,9.0,6,1
LMS-2003,COURSE-004,2025-02-09 09:57:00,2025-02-09 10:44:00,24.0,1,4
LMS-2003,COURSE-007,2024-12-10 17:38:00,2024-12-10 20:07:00,3.0,9,1
LMS-2003,COURSE-002,2025-02-01 14:14:00,2025-02-01 17:02:00,3.0,9,1
LMS-2003,COURSE-004,2025-02-02 07:15:00,2025-02-02 08:16:00,27.0,2,3
LMS-2003,COURSE-007,2024-09-04 13:41:00,2024-09-04 14:34:00,37.0,9,0
LMS-2003,COURSE-009,2025-03-12 19:01:00,2025-03-12 22:00:00,44.0,9,0
LMS-2003,COURSE-001,2024-11-18 12:55:00,2024-11-18 15:04:00,34.0,2,4
LMS-2003,COURSE-006,2025-02-10 16:38:00,2025-02-10 18:59:00,47.0,6,0
LMS-2003,COURSE-002,2024-10-28 08:22:00,2024-10-28 10:23:00,10.0,8,4
LMS-2003,COURSE-007,2025-01-04 07:20:00,2025-01-04 07:43:00,4.0,1,0
LMS-2003,COURSE-009,2024-09-29 18:34:00,2024-09-29 19:06:00,4.0,3,3
LMS-2003,COURSE-004,2025-04-17 21:10:00,2025-04-17 22:03:00,43.0,9,1
LMS-2003,COURSE-008,2024-11-18 21:02:00,2024-11-18 23:45:00,33.0,8,1
LMS-2003,COURSE-010,2024-09-26 12:56:00,2024-09-26 15:29:00,22.0,8,2
LMS-2003,COURSE-007,2025-02-13 18:12:00,2025-02-13 19:08:00,29.0,7,4
LMS-2003,COURSE-001,2025-01-03 19:08:00,2025-01-03 21:02:00,35.0,2,3
LMS-2003,COURSE-010,2025-03-04 07:48:00,2025-03-04 09:39:00,40.0,5,3
LMS-2003,COURSE-004,2025-01-03 20:10:00,2025-01-03 22:43:00,7.0,0,3
LMS-2003,COURSE-004,2024-09-21 13:15:00,2024-09-21 14:13:00,22.0,5,1
LMS-2003,COURSE-010,2025-01-26 10:29:00,2025-01-26 12:15:00,28.0,4,4
LMS-2003,COURSE-003,2025-01-18 07:54:00,2025-01-18 08:01:00,19.0,0,0
LMS-2003,COURSE-004,2025-04-20 20:00:00,2025-04-20 20:08:00,11.0,3,2
LMS-2003,COURSE-002,2025-01-22 07:31:00,2025-01-22 10:24:00,40.0,0,3
LMS-2003,COURSE-009,2024-09-23 14:13:00,2024-09-23 14:56:00,10.0,1,0
LMS-2003,COURSE-007,2025-02-21 10:20:00,2025-02-21 13:13:00,35.0,2,0
LMS-2003,COURSE-010,2025-02-01 11:16:00,2025-02-01 11:38:00,46.0,5,4
LMS-2003,COURSE-008,2025-04-09 18:25:00,2025-04-09 19:04:00,26.0,2,2
LMS-2003,COURSE-009,2025-04-09 11:28:00,2025-04-09 12:23:00,32.0,2,4
LMS-2003,COURSE-009,2024-10-08 15:30:00,2024-10-08 17:42:00,10.0,4,4
LMS-2003,COURSE-003,2024-12-30 14:39:00,2024-12-30 15:13:00,44.0,7,3
LMS-2003,COURSE-009,2025-02-06 19:48:00,2025-02-06 20:55:00,4.0,3,4
LMS-2003,COURSE-007,2025-01-08 15:21:00,2025-01-08 18:08:00,32.0,8,4
LMS-2003,COURSE-010,2024-11-04 21:46:00,2024-11-04 23:20:00,23.0,8,0
LMS-2003,COURSE-005,2025-04-15 09:44:00,2025-04-15 11:40:00,29.0,8,3
LMS-2003,COURSE-009,2025-02-04 17:34:00,2025-02-04 19:31:00,10.0,9,2
LMS-2003,COURSE-006,2024-12-16 20:19:00,2024-12-16 22:15:00,39.0,5,3
LMS-2003,COURSE-005,2025-03-28 09:34:00,2025-03-28 10:14:00,37.0,9,4
LMS-2003,COURSE-009,2024-09-30 08:28:00,2024-09-30 10:01:00,36.0,2,0
LMS-2003,COURSE-009,2024-11-07 08:24:00,2024-11-07 11:15:00,2.0,7,0
LMS-2003,COURSE-009,2025-02-13 20:18:00,2025-02-13 22:13:00,39.0,0,2
LMS-2003,COURSE-003,2024-10-27 08:52:00,2024-10-27 10:10:00,27.0,8,2
LMS-2003,COURSE-003,2025-01-06 08:57:00,2025-01-06 09:28:00,17.0,3,3
LMS-2003,COURSE-002,2025-01-27 16:10:00,2025-01-27 17:34:00,17.0,8,1
LMS-2003,COURSE-008,2025-01-06 18:39:00,2025-01-06 20:38:00,2.0,2,3
LMS-2003,COURSE-009,2025-04-22 18:11:00,2025-04-22 20:52:00,19.0,3,3
LMS-2003,COURSE-010,2024-11-13 09:08:00,2024-11-13 10:45:00,28.0,3,4
LMS-2003,COURSE-009,2024-12-04 12:34:00,2024-12-04 14:27:00,36.0,5,3
LMS-2003,COURSE-010,2024-11-18 12:39:00,2024-11-18 14:46:00,48.0,7,2
LMS-2003,COURSE-001,2025-01-01 18:53:00,2025-01-01 20:31:00,8.0,6,4
LMS-2003,COURSE-004,2025-03-24 19:23:00,2025-03-24 19:28:00,45.0,3,0
LMS-2003,COURSE-008,2025-03-21 07:53:00,2025-03-21 09:18:00,43.0,1,2
LMS-2003,COURSE-001,2024-12-24 10:12:00,2024-12-24 11:55:00,19.0,8,0
LMS-2003,COURSE-006,2024-09-25 10:57:00,2024-09-25 12:07:00,35.0,1,3
LMS-2003,COURSE-004,2024-10-16 13:41:00,2024-10-16 15:44:00,21.0,8,1
LMS-2003,COURSE-002,2025-04-11 07:29:00,2025-04-11 09:36:00,29.0,2,4
LMS-2003,COURSE-006,2024-09-19 10:53:00,2024-09-19 11:49:00,36.0,0,1
LMS-2003,COURSE-002,2024-10-01 09:44:00,2024-10-01 12:07:00,6.0,5,3
LMS-2003,COURSE-005,2025-04-05 17:10:00,2025-04-05 17:49:00,49.0,2,4
LMS-2003,COURSE-002,2024-11-26 16:59:00,2024-11-26 17:35:00,11.0,2,2
LMS-2003,COURSE-006,2025-03-27 21:18:00,2025-03-27 23:13:00,1.0,0,3
LMS-2003,COURSE-005,2025-03-18 18:01:00,2025-03-18 18:54:00,7.0,7,2
LMS-2003,COURSE-009,2025-02-24 18:39:00,2025-02-24 20:49:00,46.0,6,2
LMS-2003,COURSE-001,2024-11-25 15:00:00,2024-11-25 17:45:00,45.0,0,4
LMS-2003,COURSE-007,2024-10-25 13:23:00,2024-10-25 15:47:00,4.0,1,2
LMS-2003,COURSE-001,2024-12-05 17:26:00,2024-12-05 19:34:00,12.0,6,2
LMS-2003,COURSE-002,2025-03-27 18:50:00,2025-03-27 21:48:00,42.0,1,0
LMS-2003,COURSE-007,2025-04-21 11:21:00,2025-04-21 12:15:00,12.0,6,3
LMS-2003,COURSE-002,2025-04-06 11:58:00,2025-04-06 13:33:00,36.0,6,4
LMS-2003,COURSE-003,2025-04-02 13:56:00,2025-04-02 14:18:00,35.0,2,2
LMS-2003,COURSE-009,2024-10-02 14:01:00,2024-10-02 14:15:00,35.0,2,1
LMS-2003,COURSE-008,2025-02-16 11:30:00,2025-02-16 12:01:00,3.0,6,4
LMS-2003,COURSE-003,2025-03-09 20:12:00,2025-03-09 21:38:00,5.0,8,4
LMS-2003,COURSE-002,2025-02-14 20:46:00,2025-02-14 21:43:00,39.0,5,4
LMS-2003,COURSE-010,2024-11-08 17:15:00,2024-11-08 17:45:00,32.0,2,3
LMS-2003,COURSE-004,2025-03-13 11:08:00,2025-03-13 11:43:00,21.0,6,2
LMS-2003,COURSE-004,2024-11-30 17:01:00,2024-11-30 17:43:00,31.0,8,4
LMS-2003,COURSE-002,2024-09-29 13:07:00,2024-09-29 14:11:00,2.0,7,1
LMS-2003,COURSE-007,2024-12-07 10:38:00,2024-12-07 11:39:00,40.0,2,1
