student_id,coursera_id,lms_id,academic_id
STU-0118,CR-1118,LMS-2118,AC-3118
STU-0119,CR-1119,LMS-2119,AC-3119
STU-0120,CR-1120,LMS-2120,AC-3120
STU-0121,CR-1121,LMS-2121,AC-3121
STU-0122,CR-1122,LMS-2122,AC-3122
STU-0123,CR-1123,LMS-2123,AC-3123
STU-0124,CR-1124,LMS-2124,AC-3124
STU-0125,CR-1125,LMS-2125,AC-3125
STU-0126,CR-1126,LMS-2126,AC-3126
STU-0127,CR-1127,LMS-2127,AC-3127
STU-0128,CR-1128,LMS-2128,AC-3128
STU-0129,CR-1129,LMS-2129,AC-3129
STU-0130,CR-1130,LMS-2130,AC-3130
STU-0131,CR-1131,LMS-2131,AC-3131
STU-0132,CR-1132,LMS-2132,AC-3132
STU-0133,CR-1133,LMS-2133,AC-3133
STU-0134,CR-1134,LMS-2134,AC-3134
STU-0135,CR-1135,LMS-2135,AC-3135
STU-0136,CR-1136,LMS-2136,AC-3136
STU-0137,CR-1137,LMS-2137,AC-3137
STU-0138,CR-1138,LMS-2138,AC-3138
STU-0139,CR-1139,LMS-2139,AC-3139
STU-0140,CR-1140,LMS-2140,AC-3140
STU-0141,CR-1141,LMS-2141,AC-3141
STU-0142,CR-1142,LMS-2142,AC-3142
STU-0143,CR-1143,LMS-2143,AC-3143
STU-0144,CR-1144,LMS-2144,AC-3144
STU-0145,CR-1145,LMS-2145,AC-3145
STU-0146,CR-1146,LMS-2146,AC-3146
STU-0147,CR-1147,LMS-2147,AC-3147
STU-0148,CR-1148,LMS-2148,AC-3148
STU-0149,CR-1149,LMS-2149,AC-3149
STU-0150,CR-1150,LMS-2150,AC-3150
STU-0151,CR-1151,LMS-2151,AC-3151
STU-0152,CR-1152,LMS-2152,AC-3152
STU-0153,CR-1153,LMS-2153,AC-3153
STU-0154,CR-1154,LMS-2154,AC-3154
STU-0155,CR-1155,LMS-2155,AC-3155
STU-0156,CR-1156,LMS-2156,AC-3156
STU-0157,CR-1157,LMS-2157,AC-3157
STU-0158,CR-1158,LMS-2158,AC-3158
STU-0159,CR-1159,LMS-2159,AC-3159
STU-0160,CR-1160,LMS-2160,AC-3160
STU-0161,CR-1161,LMS-2161,AC-3161
STU-0162,CR-1162,LMS-2162,AC-3162
STU-0163,CR-1163,LMS-2163,AC-3163
STU-0164,CR-1164,LMS-2164,AC-3164
STU-0165,CR-1165,LMS-2165,AC-3165
STU-0166,CR-1166,LMS-2166,AC-3166
STU-0167,CR-1167,LMS-2167,AC-3167
STU-0168,CR-1168,LMS-2168,AC-3168
STU-0169,CR-1169,LMS-2169,AC-3169
STU-0170,CR-1170,LMS-2170,AC-3170
STU-0171,CR-1171,LMS-2171,AC-3171
STU-0172,CR-1172,LMS-2172,AC-3172
STU-0173,CR-1173,LMS-2173,AC-3173
STU-0174,CR-1174,LMS-2174,AC-3174
STU-0175,CR-1175,LMS-2175,AC-3175
STU-0176,CR-1176,LMS-2176,AC-3176
STU-0177,CR-1177,LMS-2177,AC-3177
STU-0178,CR-1178,LMS-2178,AC-3178
STU-0179,CR-1179,LMS-2179,AC-3179
STU-0180,CR-1180,LMS-2180,AC-3180
STU-0181,CR-1181,LMS-2181,AC-3181
STU-0182,CR-1182,LMS-2182,AC-3182
STU-0183,CR-1183,LMS-2183,AC-3183
STU-0184,CR-1184,LMS-2184,AC-3184
STU-0185,CR-1185,LMS-2185,AC-3185
STU-0186,CR-1186,LMS-2186,AC-3186
STU-0187,CR-1187,LMS-2187,AC-3187
STU-0188,CR-1188,LMS-2188,AC-3188
STU-0189,CR-1189,LMS-2189,AC-3189
STU-0190,CR-1190,LMS-2190,AC-3190
STU-0191,CR-1191,LMS-2191,AC-3191
STU-0192,CR-1192,LMS-2192,AC-3192
STU-0193,CR-1193,LMS-2193,AC-3193
STU-0194,CR-1194,LMS-2194,AC-3194
STU-0195,CR-1195,LMS-2195,AC-3195
STU-0196,CR-1196,LMS-2196,AC-3196
STU-0197,CR-1197,LMS-2197,AC-3197
STU-0198,CR-1198,LMS-2198,AC-3198
STU-0199,CR-1199,LMS-2199,AC-3199
STU-0200,CR-1200,LMS-2200,AC-3200
