student_id,course_id,timestamp,activity_type,duration_minutes,video_id,completion_pct,score
CR-1001,COURSE-010,01/15/2025 09:26 AM,video_watch,3.2,VID-029,0.84,
CR-1001,COURSE-003,01/10/2025 11:05 AM,reading,30.0,,,
CR-1001,COURSE-003,11/30/2024 05:25 PM,assignment_submit,2.4,,,
CR-1001,COURSE-010,01/19/2025 09:27 AM,quiz_attempt,27.0,,,81.7
CR-1001,COURSE-009,01/09/2025 08:27 PM,forum_post,2.3,,,
CR-1001,COURSE-005,10/26/2024 08:37 AM,video_watch,66.1,VID-044,0.96,
CR-1001,COURSE-003,04/17/2025 11:34 AM,reading,,,,
CR-1001,COURSE-001,04/21/2025 08:13 AM,quiz_attempt,19.8,,,81.0
CR-1001,COURSE-010,01/22/2025 02:56 PM,assignment_submit,60.1,,,
CR-1001,COURSE-005,03/23/2025 03:27 PM,reading,6.5,,,
CR-1001,COURSE-002,11/29/2024 03:57 PM,video_watch,6.2,VID-037,0.5,
CR-1001,COURSE-003,02/04/2025 08:45 PM,assignment_submit,,,,
CR-1001,COURSE-002,03/16/2025 10:24 PM,reading,1.7,,,
CR-1001,COURSE-008,12/18/2024 12:54 PM,reading,9.4,,,
CR-1001,COURSE-005,04/12/2025 10:48 PM,reading,27.7,,,
CR-1001,COURSE-001,10/29/2024 06:48 PM,quiz_attempt,12.6,,,48.1
CR-1001,COURSE-005,09/06/2024 07:16 PM,video_watch,163.4,VID-038,0.43,
CR-1001,COURSE-001,11/24/2024 09:08 PM,quiz_attempt,61.6,,,81.0
CR-1001,COURSE-008,03/09/2025 08:48 AM,assignment_submit,19.3,,,
CR-1001,COURSE-010,11/11/2024 02:25 PM,quiz_attempt,14.7,,,73.7
CR-1001,COURSE-009,10/24/2024 07:04 PM,reading,17.8,,,
CR-1001,COURSE-005,01/29/2025 10:36 PM,quiz_attempt,20.4,,,95.3
CR-1001,COURSE-002,12/12/2024 01:59 PM,reading,8.6,,,
CR-1001,COURSE-003,09/30/2024 10:26 PM,assignment_submit,46.9,,,
CR-1001,COURSE-007,02/13/2025 08:23 AM,video_watch,14.8,VID-017,0.61,
CR-1001,COURSE-003,10/23/2024 09:12 AM,reading,15.4,,,
CR-1001,COURSE-006,11/19/2024 10:10 PM,quiz_attempt,,,,80.4
CR-1001,COURSE-002,12/05/2024 10:26 AM,quiz_attempt,18.4,,,58.3
CR-1001,COURSE-010,09/21/2024 12:17 PM,video_watch,3.9,VID-021,0.88,
CR-1001,COURSE-008,10/17/2024 04:21 PM,video_watch,41.4,VID-048,0.51,
CR-1001,COURSE-006,03/26/2025 10:55 PM,video_watch,5.4,VID-028,0.42,
CR-1001,COURSE-007,09/07/2024 10:46 AM,video_watch,14.3,VID-047,0.77,
CR-1001,COURSE-010,12/28/2024 12:27 PM,video_watch,16.6,VID-017,0.89,
CR-1001,COURSE-009,11/07/2024 05:02 PM,assignment_submit,13.8,,,
CR-1001,COURSE-008,12/20/2024 01:33 PM,video_watch,17.7,VID-044,0.84,
CR-1001,COURSE-006,03/03/2025 06:44 PM,assignment_submit,18.6,,,
CR-1001,COURSE-006,01/28/2025 12:05 PM,video_watch,5.6,VID-004,0.54,
CR-1001,COURSE-008,12/27/2024 08:29 AM,video_watch,25.7,VID-002,0.96,
CR-1001,COURSE-004,12/27/2024 11:18 AM,video_watch,14.2,VID-049,0.64,
CR-1001,COURSE-003,12/09/2024 08:42 PM,quiz_attempt,1.1,,,83.5
CR-1001,COURSE-010,09/10/2024 12:22 PM,video_watch,92.0,VID-013,0.63,
CR-1001,COURSE-007,01/21/2025 03:37 PM,video_watch,,VID-031,0.74,
CR-1001,COURSE-008,01/28/2025 07:28 PM,forum_post,8.8,,,
CR-1001,COURSE-005,10/30/2024 09:34 PM,forum_post,1.0,,,
CR-1001,COURSE-009,11/17/2024 05:03 PM,video_watch,41.9,VID-025,0.4,
CR-1001,COURSE-001,12/06/2024 02:14 PM,assignment_submit,5.3,,,
CR-1001,COURSE-008,03/13/2025 09:52 PM,reading,5.2,,,
CR-1001,COURSE-007,03/17/2025 01:02 PM,quiz_attempt,26.2,,,58.8
CR-1001,COURSE-007,10/03/2024 11:29 AM,reading,17.0,,,
CR-1001,COURSE-007,03/04/2025 08:36 AM,reading,3.1,,,
CR-1001,COURSE-010,11/05/2024 05:04 PM,video_watch,8.4,VID-038,0.87,
CR-1001,COURSE-004,01/14/2025 12:28 PM,quiz_attempt,25.6,,,39.1
CR-1001,COURSE-004,12/04/2024 10:50 AM,forum_post,3.9,,,
CR-1001,COURSE-010,11/08/2024 11:10 AM,video_watch,8.4,VID-006,0.97,
CR-1002,COURSE-008,04/05/2025 08:46 AM,quiz_attempt,41.1,,,73.6
CR-1002,COURSE-010,12/29/2024 12:07 PM,assignment_submit,29.5,,,
CR-1002,COURSE-008,01/15/2025 01:50 PM,quiz_attempt,36.7,,,82.9
CR-1002,COURSE-005,09/01/2024 09:36 PM,reading,3.6,,,
CR-1002,COURSE-006,04/03/2025 04:00 PM,video_watch,14.6,VID-040,0.32,
CR-1002,COURSE-004,02/01/2025 04:34 PM,forum_post,3.9,,,
CR-1002,COURSE-002,01/08/2025 02:17 PM,reading,50.1,,,
CR-1002,COURSE-003,03/06/2025 07:58 PM,assignment_submit,5.7,,,
CR-1002,COURSE-008,02/27/2025 01:52 PM,assignment_submit,7.5,,,
CR-1002,COURSE-002,04/23/2025 01:25 PM,forum_post,5.4,,,
CR-1002,COURSE-004,11/23/2024 04:48 PM,video_watch,10.7,VID-028,0.56,
CR-1002,COURSE-003,02/26/2025 06:55 PM,quiz_attempt,8.6,,,105.8
CR-1002,COURSE-002,01/22/2025 03:18 PM,quiz_attempt,7.0,,,63.4
CR-1002,COURSE-001,03/13/2025 01:27 PM,forum_post,2.6,,,
CR-1002,COURSE-008,11/02/2024 11:00 AM,assignment_submit,39.6,,,
CR-1002,COURSE-003,10/02/2024 05:09 PM,reading,20.7,,,
CR-1002,COURSE-002,11/26/2024 02:27 PM,quiz_attempt,40.3,,,90.3
CR-1002,COURSE-006,04/03/2025 06:07 PM,video_watch,8.3,VID-037,0.72,
CR-1002,COURSE-004,11/17/2024 03:45 PM,video_watch,57.8,VID-021,0.86,
CR-1002,COURSE-003,11/24/2024 10:47 AM,forum_post,4.4,,,
CR-1002,COURSE-005,09/02/2024 08:46 AM,quiz_attempt,8.4,,,68.1
CR-1002,COURSE-007,01/08/2025 10:22 AM,video_watch,6.2,VID-005,0.89,
CR-1002,COURSE-001,11/25/2024 07:23 PM,video_watch,40.6,VID-046,0.61,
CR-1002,COURSE-007,03/13/2025 08:24 PM,forum_post,1.2,,,
CR-1002,COURSE-010,04/26/2025 11:25 AM,assignment_submit,46.2,,,
CR-1002,COURSE-002,10/07/2024 06:05 PM,assignment_submit,,,,
CR-1002,COURSE-001,10/11/2024 01:33 PM,reading,10.4,,,
CR-1002,COURSE-010,11/15/2024 02:52 PM,quiz_attempt,3.0,,,58.5
CR-1002,COURSE-009,12/07/2024 07:44 PM,forum_post,3.4,,,
CR-1002,COURSE-010,01/23/2025 05:20 PM,assignment_submit,11.0,,,
CR-1002,COURSE-003,10/24/2024 06:00 PM,quiz_attempt,1.9,,,58.4
CR-1002,COURSE-008,09/29/2024 12:10 PM,forum_post,2.9,,,
CR-1002,COURSE-003,03/06/2025 02:39 PM,reading,59.6,,,
CR-1002,COURSE-005,01/30/2025 01:21 PM,quiz_attempt,13.2,,,76.5
CR-1002,COURSE-002,04/23/2025 08:58 AM,video_watch,19.5,VID-002,0.49,
CR-1002,COURSE-003,10/12/2024 04:38 PM,assignment_submit,34.2,,,
CR-1002,COURSE-006,02/19/2025 10:29 AM,forum_post,4.5,,,
CR-1002,COURSE-001,10/14/2024 06:58 PM,quiz_attempt,2.9,,,67.0
CR-1002,COURSE-008,10/25/2024 08:46 AM,reading,28.4,,,
CR-1002,COURSE-006,11/20/2024 02:36 PM,assignment_submit,20.3,,,
CR-1002,COURSE-010,03/29/2025 04:11 PM,reading,1.1,,,
CR-1002,COURSE-007,10/02/2024 05:15 PM,assignment_submit,146.9,,,
CR-1002,COURSE-005,11/25/2024 05:06 PM,assignment_submit,26.3,,,
CR-1002,COURSE-007,11/11/2024 09:58 AM,video_watch,31.7,VID-031,0.73,
CR-1002,COURSE-002,02/06/2025 03:34 PM,video_watch,,VID-043,0.91,
CR-1002,COURSE-002,12/02/2024 01:24 PM,quiz_attempt,14.7,,,87.2
CR-1002,COURSE-007,04/15/2025 05:33 PM,quiz_attempt,4.1,,,69.1
CR-1002,COURSE-007,12/05/2024 10:58 AM,quiz_attempt,0.2,,,71.6
CR-1002,COURSE-010,04/24/2025 10:56 PM,assignment_submit,1.9,,,
CR-1002,COURSE-001,11/23/2024 12:00 PM,video_watch,2.3,VID-014,0.61,
CR-1002,COURSE-009,02/28/2025 09:14 PM,video_watch,2.3,VID-024,0.72,
CR-1002,COURSE-002,11/27/2024 06:12 PM,reading,3.7,,,
CR-1002,COURSE-006,10/29/2024 03:19 PM,reading,18.7,,,
CR-1002,COURSE-009,11/13/2024 06:33 PM,quiz_attempt,5.0,,,49.0
CR-1002,COURSE-005,09/03/2024 03:05 PM,video_watch,1.2,VID-047,0.93,
CR-1002,COURSE-001,02/10/2025 09:17 AM,video_watch,3.3,VID-032,0.92,
CR-1002,COURSE-009,12/10/2024 09:10 AM,reading,9.9,,,
CR-1002,COURSE-009,09/29/2024 04:02 PM,video_watch,38.2,VID-042,0.63,
CR-1002,COURSE-005,03/26/2025 01:07 PM,quiz_attempt,1.0,,,80.3
CR-1002,COURSE-001,09/28/2024 12:12 PM,video_watch,1.3,VID-045,0.56,
CR-1002,COURSE-001,11/30/2024 08:44 PM,assignment_submit,42.2,,,
CR-1002,COURSE-009,02/15/2025 07:32 PM,forum_post,2.0,,,
CR-1002,COURSE-006,02/28/2025 05:35 PM,video_watch,4.2,VID-005,0.79,
CR-1002,COURSE-002,02/06/2025 09:35 AM,forum_post,8.9,,,
CR-1002,COURSE-001,10/09/2024 09:31 AM,quiz_attempt,16.4,,,74.2
CR-1002,COURSE-003,12/07/2024 07:23 PM,video_watch,2.7,VID-019,0.53,
CR-1002,COURSE-006,04/10/2025 12:28 PM,assignment_submit,55.4,,,
CR-1002,COURSE-006,11/07/2024 06:16 PM,assignment_submit,24.7,,,
CR-1002,COURSE-002,09/22/2024 05:55 PM,quiz_attempt,41.0,,,63.6
CR-1002,COURSE-001,09/07/2024 08:10 PM,forum_post,2.0,,,
CR-1002,COURSE-007,02/26/2025 06:57 PM,quiz_attempt,11.8,,,77.7
CR-1002,COURSE-003,09/29/2024 11:16 AM,video_watch,12.0,VID-039,0.82,
CR-1002,COURSE-003,11/23/2024 01:10 PM,forum_post,15.1,,,
CR-1002,COURSE-005,12/01/2024 08:20 PM,video_watch,20.4,VID-006,0.46,
CR-1002,COURSE-001,02/09/2025 08:34 PM,forum_post,5.3,,,
CR-1002,COURSE-008,09/15/2024 07:15 PM,quiz_attempt,3.5,,,69.6
CR-1002,COURSE-005,03/18/2025 10:28 AM,quiz_attempt,48.6,,,54.2
CR-1002,COURSE-009,01/26/2025 09:14 PM,reading,0.0,,,
CR-1002,COURSE-004,01/04/2025 07:19 PM,assignment_submit,16.3,,,
CR-1002,COURSE-006,03/07/2025 10:21 PM,video_watch,7.9,VID-002,0.51,
CR-1002,COURSE-006,11/03/2024 09:45 AM,video_watch,6.9,VID-045,0.69,
CR-1002,COURSE-006,10/16/2024 10:15 PM,video_watch,19.3,VID-020,0.89,
CR-1002,COURSE-001,04/21/2025 08:29 PM,quiz_attempt,34.8,,,51.2
CR-1002,COURSE-002,11/29/2024 09:57 PM,reading,34.5,,,
CR-1002,COURSE-003,02/19/2025 08:39 AM,video_watch,45.3,VID-009,0.6,
CR-1002,COURSE-007,02/25/2025 07:19 PM,reading,21.6,,,
CR-1002,COURSE-010,01/12/2025 05:21 PM,assignment_submit,13.1,,,
CR-1002,COURSE-002,03/07/2025 05:13 PM,video_watch,1.2,VID-023,0.33,
CR-1002,COURSE-007,02/20/2025 03:28 PM,quiz_attempt,11.4,,,65.6
CR-1002,COURSE-002,10/14/2024 09:05 AM,video_watch,21.2,VID-037,0.51,
CR-1002,COURSE-001,12/06/2024 02:11 PM,video_watch,40.5,VID-031,0.85,
CR-1002,COURSE-001,03/07/2025 03:49 PM,forum_post,3.6,,,
CR-1002,COURSE-002,12/26/2024 09:35 AM,assignment_submit,18.2,,,
CR-1002,COURSE-003,10/09/2024 05:50 PM,forum_post,1.7,,,
CR-1002,COURSE-008,01/09/2025 08:17 PM,quiz_attempt,36.2,,,83.2
CR-1002,COURSE-002,04/10/2025 02:41 PM,quiz_attempt,,,,61.2
CR-1002,COURSE-008,04/25/2025 04:53 PM,reading,17.3,,,
CR-1002,COURSE-009,04/19/2025 01:16 PM,assignment_submit,69.7,,,
CR-1002,COURSE-008,04/17/2025 12:00 PM,video_watch,18.3,VID-036,0.66,
CR-1002,COURSE-009,03/21/2025 08:09 PM,video_watch,11.3,VID-020,0.77,
CR-1002,COURSE-005,12/16/2024 12:46 PM,quiz_attempt,,,,82.6
CR-1002,COURSE-004,12/20/2024 10:05 PM,quiz_attempt,6.3,,,86.6
CR-1002,COURSE-001,10/07/2024 11:25 AM,video_watch,2.6,VID-006,0.87,
CR-1002,COURSE-009,10/13/2024 09:33 PM,quiz_attempt,20.4,,,70.0
CR-1002,COURSE-006,02/25/2025 02:43 PM,quiz_attempt,3.0,,,88.3
CR-1002,COURSE-002,10/15/2024 11:15 AM,video_watch,4.5,VID-008,0.38,
CR-1002,COURSE-010,10/25/2024 02:25 PM,assignment_submit,0.4,,,
CR-1002,COURSE-008,09/26/2024 03:46 PM,video_watch,29.3,VID-027,0.69,
CR-1002,COURSE-010,10/23/2024 12:40 PM,assignment_submit,8.6,,,
CR-1002,COURSE-001,03/11/2025 01:08 PM,video_watch,10.4,VID-048,0.67,
CR-1002,COURSE-006,12/11/2024 09:03 PM,assignment_submit,11.5,,,
CR-1002,COURSE-003,01/19/2025 04:22 PM,reading,40.6,,,
CR-1002,COURSE-005,10/24/2024 02:24 PM,quiz_attempt,7.8,,,52.8
CR-1002,COURSE-001,10/30/2024 08:24 PM,assignment_submit,5.4,,,
CR-1002,COURSE-003,02/19/2025 01:25 PM,quiz_attempt,3.7,,,47.3
CR-1002,COURSE-003,03/13/2025 09:08 PM,assignment_submit,15.6,,,
CR-1002,COURSE-005,03/13/2025 01:27 PM,reading,33.6,,,
CR-1002,COURSE-005,01/11/2025 09:47 AM,video_watch,5.6,VID-036,0.77,
CR-1002,COURSE-007,04/25/2025 12:22 PM,reading,45.4,,,
CR-1002,COURSE-003,01/21/2025 04:35 PM,video_watch,1.2,VID-021,0.59,
CR-1002,COURSE-003,04/26/2025 06:28 PM,quiz_attempt,17.4,,,75.8
CR-1002,COURSE-009,11/16/2024 11:25 AM,quiz_attempt,14.8,,,64.8
CR-1002,COURSE-007,12/17/2024 05:38 PM,video_watch,7.0,VID-049,0.47,
CR-1003,COURSE-010,02/19/2025 03:44 PM,reading,2.4,,,
CR-1003,COURSE-006,01/28/2025 01:20 PM,video_watch,18.0,VID-026,0.92,
CR-1003,COURSE-005,03/27/2025 08:25 AM,reading,7.2,,,
CR-1003,COURSE-010,12/09/2024 07:38 PM,forum_post,8.3,,,
CR-1003,COURSE-002,03/21/2025 08:54 AM,forum_post,0.8,,,
CR-1003,COURSE-007,12/17/2024 09:32 AM,video_watch,15.3,VID-022,0.76,
CR-1003,COURSE-009,11/17/2024 08:56 PM,video_watch,88.1,VID-035,0.75,
CR-1003,COURSE-003,03/22/2025 02:23 PM,forum_post,4.6,,,
CR-1003,COURSE-004,10/02/2024 02:44 PM,video_watch,1.8,VID-033,0.3,
CR-1003,COURSE-002,09/13/2024 08:59 AM,assignment_submit,22.1,,,
CR-1003,COURSE-006,02/07/2025 12:07 PM,video_watch,18.0,VID-003,0.41,
CR-1003,COURSE-003,09/02/2024 01:16 PM,reading,26.2,,,
CR-1003,COURSE-010,09/08/2024 01:43 PM,quiz_attempt,63.2,,,80.1
CR-1003,COURSE-009,03/27/2025 05:29 PM,video_watch,34.5,VID-012,0.46,
CR-1003,COURSE-006,12/01/2024 10:39 AM,video_watch,97.8,VID-040,0.68,
CR-1003,COURSE-001,03/19/2025 02:31 PM,video_watch,18.8,VID-012,0.8,
CR-1003,COURSE-001,04/07/2025 04:08 PM,video_watch,7.3,VID-023,0.58,
CR-1003,COURSE-010,09/12/2024 10:48 PM,quiz_attempt,15.5,,,93.0
CR-1003,COURSE-006,02/05/2025 03:41 PM,assignment_submit,3.0,,,
CR-1003,COURSE-005,09/14/2024 04:14 PM,video_watch,0.5,VID-027,0.41,
CR-1003,COURSE-001,09/25/2024 08:53 PM,reading,51.2,,,
CR-1003,COURSE-004,12/19/2024 01:45 PM,quiz_attempt,14.0,,,56.0
CR-1003,COURSE-004,01/14/2025 12:33 PM,quiz_attempt,2.9,,,67.4
CR-1003,COURSE-004,03/07/2025 07:31 PM,reading,11.6,,,
CR-1003,COURSE-002,01/12/2025 08:42 PM,video_watch,21.0,VID-019,0.98,
CR-1003,COURSE-008,02/25/2025 08:30 PM,quiz_attempt,7.1,,,53.5
CR-1004,COURSE-001,04/26/2025 10:06 AM,forum_post,3.6,,,
CR-1004,COURSE-004,09/17/2024 12:38 PM,reading,3.8,,,
CR-1004,COURSE-005,02/13/2025 02:49 PM,assignment_submit,43.5,,,
CR-1004,COURSE-006,04/15/2025 02:26 PM,quiz_attempt,35.2,,,68.1
CR-1004,COURSE-002,11/25/2024 12:54 PM,forum_post,0.7,,,
CR-1004,COURSE-010,04/18/2025 10:20 PM,quiz_attempt,22.8,,,78.9
CR-1004,COURSE-005,04/06/2025 09:44 AM,video_watch,4.4,VID-037,0.79,
CR-1004,COURSE-010,10/22/2024 02:52 PM,quiz_attempt,2.7,,,71.5
CR-1004,COURSE-008,12/21/2024 07:17 PM,reading,33.3,,,
CR-1004,COURSE-005,02/04/2025 01:41 PM,assignment_submit,62.6,,,
CR-1004,COURSE-009,03/11/2025 08:55 AM,video_watch,57.2,VID-002,0.63,
CR-1004,COURSE-007,09/21/2024 07:10 PM,reading,21.5,,,
CR-1004,COURSE-001,03/19/2025 08:14 AM,reading,1.4,,,
CR-1004,COURSE-001,03/30/2025 12:31 PM,quiz_attempt,11.7,,,83.9
CR-1004,COURSE-005,04/15/2025 03:16 PM,reading,14.2,,,
CR-1004,COURSE-004,02/06/2025 09:35 PM,quiz_attempt,,,,90.4
CR-1004,COURSE-010,09/28/2024 10:42 AM,assignment_submit,2.1,,,
CR-1004,COURSE-006,12/05/2024 03:09 PM,assignment_submit,1.7,,,
CR-1004,COURSE-008,11/20/2024 10:07 PM,quiz_attempt,19.6,,,53.2
CR-1004,COURSE-009,01/04/2025 11:13 AM,video_watch,20.7,VID-010,0.46,
CR-1004,COURSE-010,01/02/2025 09:10 AM,reading,8.3,,,
CR-1004,COURSE-008,03/02/2025 04:24 PM,reading,11.3,,,
CR-1004,COURSE-004,04/05/2025 09:21 AM,quiz_attempt,5.5,,,99.0
CR-1004,COURSE-001,10/02/2024 10:45 AM,video_watch,20.8,VID-035,0.41,
CR-1004,COURSE-008,01/27/2025 08:20 PM,quiz_attempt,27.6,,,52.6
CR-1004,COURSE-009,11/25/2024 01:42 PM,video_watch,55.4,VID-029,0.71,
CR-1004,COURSE-008,03/26/2025 10:22 AM,reading,,,,
CR-1004,COURSE-008,02/12/2025 08:32 PM,quiz_attempt,18.9,,,61.8
CR-1004,COURSE-007,09/23/2024 08:29 PM,video_watch,17.2,VID-025,0.59,
CR-1004,COURSE-004,09/05/2024 10:00 AM,video_watch,2.1,VID-032,0.65,
CR-1004,COURSE-009,04/07/2025 06:01 PM,reading,9.4,,,
CR-1004,COURSE-010,02/11/2025 01:41 PM,quiz_attempt,36.6,,,84.4
CR-1004,COURSE-007,01/22/2025 10:30 AM,assignment_submit,12.7,,,
CR-1004,COURSE-004,03/05/2025 11:46 AM,quiz_attempt,25.6,,,84.0
CR-1004,COURSE-006,04/15/2025 05:36 PM,reading,10.6,,,
CR-1004,COURSE-004,01/27/2025 05:37 PM,assignment_submit,4.0,,,
CR-1004,COURSE-004,09/17/2024 02:06 PM,quiz_attempt,14.3,,,63.9
CR-1004,COURSE-002,01/10/2025 03:23 PM,video_watch,18.3,VID-019,0.76,
CR-1004,COURSE-010,12/18/2024 07:29 PM,video_watch,24.6,VID-031,0.99,
CR-1004,COURSE-001,04/13/2025 09:51 AM,forum_post,4.6,,,
CR-1004,COURSE-006,03/22/2025 04:59 PM,forum_post,5.1,,,
CR-1004,COURSE-006,09/04/2024 11:47 AM,quiz_attempt,94.5,,,77.5
CR-1004,COURSE-005,12/12/2024 04:25 PM,forum_post,1.0,,,
CR-1004,COURSE-001,10/20/2024 10:12 AM,quiz_attempt,,,,97.2
CR-1004,COURSE-010,10/21/2024 12:18 PM,reading,38.3,,,
CR-1004,COURSE-004,11/08/2024 08:36 PM,video_watch,32.5,VID-010,0.67,
CR-1004,COURSE-009,02/10/2025 08:23 AM,reading,0.1,,,
CR-1004,COURSE-009,02/21/2025 07:43 PM,video_watch,27.8,VID-024,0.92,
CR-1004,COURSE-010,01/22/2025 01:30 PM,reading,37.3,,,
CR-1004,COURSE-008,11/12/2024 08:35 PM,video_watch,1.0,VID-018,0.62,
CR-1004,COURSE-008,01/05/2025 10:17 PM,video_watch,15.9,VID-024,0.88,
CR-1004,COURSE-007,11/21/2024 12:02 PM,reading,4.4,,,
CR-1004,COURSE-005,01/25/2025 10:24 AM,assignment_submit,18.8,,,
CR-1004,COURSE-005,02/16/2025 08:49 AM,video_watch,5.1,VID-042,0.61,
CR-1004,COURSE-009,09/28/2024 05:42 PM,video_watch,31.4,VID-049,0.87,
CR-1004,COURSE-009,09/02/2024 01:47 PM,video_watch,22.1,VID-034,0.39,
CR-1004,COURSE-010,10/08/2024 07:58 PM,forum_post,,,,
